Famous people,Fictional characters,Films,Objects,Books,"Games, sports and pastimes",TV Programmes,Geography,Animals,Food and Drink,Fictional Places
Michael Caine,Will Thatcher,The Name Of The Rose,,,,,Mauritius,Obstinacy,,
Michael Douglas,Will Turner,The Next Best Thing,,,,,Mausoleum of Maussollos,Ocelot,,
Michael Fish,Willy Wonka,The Object Of My Affection,,,,,Mbabane,Octopus,,
Michael Heseltine,Wilma Flintstone,The Odd Couple,,,,,Mecca,Okapi,,
Michael Howard,Wolverine,The Patriot,,,,,Mediterranean Sea ,Old English Sheepdog,,
Michael J Fox,Worzel Gummidge,The Piano,,,,,Mekong River,Orange Tip,,
Michael Jackson,Xena the Warrior Princess,The Pit and the Pendulum,,,,,Melbourne,Orangutan,,
Michael Madson,Yogi Bear,The Poseidan Adventure,,,,,Merseyside ,Orca,,
Michael McIntyre,Yvaine,The Prince And Me,,,,,Mexico,Orfe,,
Michael Owen,Zebedee,The Prince and the Showgirl,,,,,Mexico City,Oryx,,
Michael Palin,Zorin,The Princess Bride,,,,,Miami,Ostentation,,
Michael Parkinson,Zorro,The Railway Children,,,,,Michigan,Ostrich,,
Michael Ryan,,The Recruit,,,,,Micronesia,Otter,,
Michael Schumacher,,The Rescuers Down Under,,,,,Middle East,Owl,,
Michael Winner,,The Return Of The Pink Panther,,,,,Middlesex ,Owlet,,
Michaelangelo,,The Runaway Jury,,,,,Millennium Dome,Owls,,
Michelle Pfeiffer,,The Santa Clause,,,,,Mindanao,Ox,,
Mick Hucknall,,The Scarlet Pimpernel,,,,,Minnesota,Oxen,,
Mick Jagger,,The Secret Garden,,,,,Minsk,Oyster,,
Mike Reid,,The Seven Year Itch,,,,,Mississippi,Oystercatcher,,
Mike Tyson,,The Shawshank Redemption,,,,,Mississippi River,Pace,,
Mikhail Gorbachev,,The Shining,,,,,Missouri,Pack,,
Mohammed Fayed,,The Slipper and the Rose,,,,,Mogadishu,Paddling,,
Moses,,The Sound Of Music,,,,,Moldova,Pair,,
Mother Teresa,,The Spy Who Loved Me,,,,,Monaco,Panther,,
Muddy Waters,,The Stepford Wives,,,,,Mongolia,Parcel,,
Muhammad Ali,,The Sting,,,,,Monrovia,Parliament,,
Murray Walker,,The Swiss Family Robinson,,,,,Mont Blanc,Parrot,,
Myra Hindley,,The Sword In The Stone,,,,,Montana,Partridge,,
Mystic Meg,,The Talented Mr Riply,,,,,Monte Carlo,Peacock,,
Naomi Cambell,,The Thin Red Line,,,,,Montenegro,Peafowl,,
Napoleon Bonaparte,,The Thomas Crown Affair,,,,,Montevideo,Peep,,
Nat 'King' Cole,,The Three Musketeers,,,,,Morocco,Pelican,,
Neil Kinnock,,The Truman Show,,,,,Moroni,Penguin,,
Nelson Mandela,,The Truth About Cats and Dogs,,,,,Moscow,Perch,,
Nero,,The Tuxedo,,,,,Mount Etna,Peregrine,,
Neville Chamberlain,,The Untouchables,,,,,Mount Everest,Pheasant,,
Nick Berry,,The Usual Suspects,,,,,Mount Fuji,Pig,,
Nick Clegg,,The Village,,,,,Mount Kilimanjaro,Pigeon,,
Nick Faldo,,The Wedding Planner,,,,,Mount Rushmore,Piglet,,
Nick Frost,,The Wedding Singer,,,,,Mount Snowdon,Pigmy Shrew,,
Nick Ross,,The Wild Wild West,,,,,Mount St Helens,Pike,,
Nicky Clarke,,The Witches,,,,,Mozambique,Pine Hawk Moth,,
Nicole Kidman,,The Wizard Of Oz,,,,,Muscat,Pipistrelle,,
Nigel Benn,,The Woman In White,,,,,Nairobi,Piranha,,
Nigel Kennedy,,The Worst Witch,,,,,Namibia,Pitt Bull Terrier,,
Nigel Short,,The Young Sherlock Holmes,,,,,Nassau,Pitying,,
Nigella Lawson,,Thelma and Louise,,,,,Nauru,Plague,,
Noel Edmonds,,There's Something About Mary,,,,,N'Djamena,Plaice,,
Norman Wisdom,,They Shoot Horses Don't They,,,,,Nebraska,Platypus,,
Nostradamus,,Three Men In A Boat,,,,,Nepal,Pod,,
Oasis,,Three To Tango,,,,,Nevada,Pointer,,
