Famous people,Fictional characters,Films,Objects,Books,"Games, sports and pastimes",TV Programmes,Geography,Animals,Food and Drink,Fictional Places
David Mellor,Gepetto,Forrest Gump,Plasticine,The Day of The Jackal,Snake,Kojak,Chessington World of Adventures,Coyote,Malteasers,Penny Lane
David Seaman,Geraldine Granger,Four Weddings and a Funeral,Plug,The Dead Zone,Snakes and Ladders,Krypton Factor,Chester ,Crab,Marathon,Phatt Island
Dawn French,Ginger,Free Willy,Plug Socket,The Demon Headmaster,Snap,Kung Fu,Chicago,Crane,Margerine,Phoenix Club
Delia Smith,God,French Kiss,Pom-Bears,The Enormous Crocodile,Snooker,Last Of The Summer Wine,Chichester ,Crane Fly,Marmite,Pigeon Street
Dennis Bergkamp,Goldilocks,From Here To Eternity,Pop-Up Book,The Firm,Snorkelling,Law & Order,Chile,Crash,Mars Bar,Pizza Planet
Dennis Norden,Goofy,From Russia With Love,Pork,The Forsyte Saga,Snowboarding,League Of Gentlemen,China,Crayfish,Milk Chocolate,Planet P
Dennis Waterman,Gordon the Gopher,Gangs Of New York,Postage Stamp,The Girl With the Dragon Tattoo,Softball,Life On Mars,Chisinau,Crested Tit,Milk Tray,Platform 9 and 3/4
Des O'Connor,Granny Smith,George Of The Jungle,Pressure Cooker,"The Girrafe, The Peli and Me",Solitaire,Little Britain,City of London ,Cricket,Milky Way,Pleasantville
Desert Orchid,Great Uncle Bulgaria,Ghost,Printer Cartridge,The Godfather,Sonic the Hedgehog,London's Burning,Cleopatra's Needle,Crocodile,Mini Chedders,Plunder Island
Desmond Lynam,Gretl Von Trapp,Ghostbusters,Protractor,The Green Mile,Sorry!,Lost,Cleveland ,Crow,Mini Eggs,Point Place
Devon Malcolm,Gromit,Gigi,Quiz Machine,The History Of Tom Jones,SplinterCell,Malcolm In The Middle,CN Tower,Crucian Carp,Monster Munch,Pride Rock
Diana Princess of Wales,Grumpy,Gladiator,Rag Doll,The Hitchhikers Guide To The Galaxy,Squash,Married With Children,Cococabana,Cry,Muffin,Qo'noS
Diana Rigg,Gulliver,Godzilla,Rechargeable Battery,The Hobbit,Star Wars Lego,Mash,Colombia,Cub,Neopolitan Ice Cream,Quahog
Diana Ross,Gunther,Gone In 60 Seconds,Reebok Trainers,The Horse Whisperer,Stargazing,Mastermind,Colombo,Cuckoo,Nugat,Raccoon City
Dick Francis,Guy Secretan,Gone With The Wind,Restaurant Menu,The Hound Of The Baskervilles,Stop the Train,Match Of The Day,Colorado,Culture,Nutella,Radiator Springs
Dickie Davis,Guybrush Threepwood,Good Morning Vietnam,Rock,The House on the Strand,Strawberry Magic,Men Behaving Badly,Colossus of Rhodes,Cur,Orange Juice,Ramsey Street
Diego Mardonna,Hamish Macbeth,Good Will Hunting,Rocking Horse,The Hunchback of Notre Dame,Sudoku,Miami Vice,Colussus of Rhodes,Curlew,Orange Squash,Remus
Dolly Parton,Han Solo,Goodbye Mr Chips,Roller Blades,The Indian In The Cupboard,Super Hang-On,Midsommer Murders,Comoros,Cuttlefish,Orangeade,Rivendell
Don King,Hannibal Lector,Goodnight Mr Tom,Romper-Suit,The Invisible Man,Surfing,Mission Impossible,Conakry,Cygnet,Pancakes,Rock Ridge
Don Quixote,Harold Bishop,Gorillas In The Mist,Rope Ladder,The Iron Man,Swimming,Monach Of The Glen,Congo River,Dace,Pantysgawn,Rohan
Donald Sinden,Harold Zidler,Gosford Park,Roulette Wheel,The Island of Dr. Moreau,Sylvanian Families,Monk,"Congo, Democratic Republic of the ",Daddy Longlegs,Penut Butter,Romulus
Donna Summer,Hawkeye,Gossip,Rubber Gloves,The Jolly Postman,Table Tennis,Morecambe & Wise,"Congo, Republic of",Dalmatian,Percy Pigs,Rosings Park
Doris Day,Hazeem,Grease,Rugby Shirt,The Jungle Book,Taboo,Most Haunted,Coniston Old Man,Damsel Fly,Philladephia,Rydell High School
Dr Christiaan Barnard,Hedwig,Great Expectations,Sack,The King & I,Technic,Mr Bean,Coniston Water,Daschund,Pickle,Sacred Heart Hospital
Drew Barrymore,Hee-man,Green Card,Sandwich Bag,The King's General,Tennis,Murder Most Horrid,Connecticut,Dazzle,Pork,Salem House
Duke of Wellington,Heidi,Groundhog Day,Sawdust,The Lepor of St Giles,Tetris,"Murder, She Wrote",Copenhagen,Death Watch Beetle,Pork Pie,San Andreas
Dustin Hoffman,Helen Tasker,Gulliver's Travels,School Satchel,The Life of Pi,The Birdtable Game,My Family,Cornwall ,Death's Head Hawk Moth,Porkchops,Sandford
Dusty Springfield,Henny Penny,Hamlet,Scissors,The Lion The Witch and the Wardrobe,The Bird-Table Game,My Hero,Costa Rica,Deer,Quality Street,Satis House
Dylan Thomas,Hercule Poirot,Hannibal,Screwdriver,The Little Mermaid,The Sims,My Name Is Earl,Cote d'Ivoire,Den,Quavers,Scabb Island
Eddie Murphy,Hercules,Harry Potter and the Chamber Of Secrets,Season Ticket,The Lord Of The Rings,Theme Hospital,Neighbours,Coventry ,Descent,Red Devil,Scumm Bar
Edmund Hilary,Herr Detweiler (Uncle Max),Harry Potter and the Philosopher's Stone,Self-Portrait,The Lost World,Theme Park,Never Mind The Buzzcocks,Croatia,Dingo,Red Dragon,Sesame Street
Edward VII,Hetty Wainthrop,Harry Potter and the Prisoner of Azkaban,Serving Spoon,The Magic Finger,Theme Park World,New Tricks,Cromarty,Diplodicus,Red Leicester,Shangri-La
Edwina Currie,Hopper,High Fidelity,Set Top Box,The Man in the Iron Mask,Three card Brag,Newlyweds,Cuba,Dodo,Red Windsor,Shawshank State Penitentiary
Electric Six,Horatio Hornblower,High Plain Drifter,Sewing Basket,The Mayor of Casterbridge,Tic Tac Toe,Newsnight,Cumberland ,Dog,Rhubarb Crumble,Shelbyville
Elijah Wood,Hugo Hurley,Hollow Man,Shepherd's Pie,The Mill On The Floss,Tiddlywinks,Nip/Tuck,Cumbria ,Dog Whelk,Roast Chicken,Skull Island
Elizabeth Hurley,Humpty Dumpty,Home Alone,Shortbread,The Moonstone,Timesplitters,Noel Edmunds House Party,Cyprus,Dogfish,Roast Turkey,Smallville
Elizabeth I,Hyacinth Bucket,Homeward Bound,Shot Glass,The Mountain of Adventure,Top Trumps,One Foot In The Grave,Czech Republic,Dolphin,Roses,South Park
Ella Fitzgerald,Ian Malcom,Honey I Shrunk The Kids,Shower,The Name of the Rose,Trainspotting,Only Fools & Horses,Dakar,Donkey,Sage Derby,Springfield
Elton John,Indiana Jones,Hook,Shutters,The No. 1 Ladies Detective Agency,Transport Tycoon,Operation Good Guys,Dallas,Donkey/Ass,Salad Cream,Star City
Elvis Costello,Inspector Clouseau,Howard's End,Sleeping Bag,The Old Curiousity Shop,Trivial Pursuit,Oprah,Damascus,Door Mouse,Salmon,Stepford
Elvis Presley,Inspector Morse,Hulk,Soap Dispenser,The Other Boleyn Girl,Twister,Over the Rainbow,Dar es Salaam,Dove,Sausage,Summer Bay
Embrace,Jabba The Hutt,I Robot,Space Shuttle,The Owl Who Was Afraid Of The Dark,Volleyball,Panorama,Dartford Tunnel,Dove ,Sausage Roll,Sun Hill
Emily Bronte,Jack Dawson,Ice Station Zebra,Spare Button,The Pelican Brief,Water Polo,Parkinson,Dartmoor,Down,Scotch Pancakes,Sunnydale
Emily Pankhurst,Jack Ryan,IceAge,Special K,The Phantom Of The Opera,Whist,Peep Show,Dead Sea,Dragon ,Sherbet Dibdabs,Sunnyside Daycare
Enid Blyton,Jack Shepard,In And Out,Spectacles,The Phoenix and the Carpet,White Water Rafting,Pet Rescue,Delaware,Dragonfly,Sherry Triffle,Tatooine
Eric Cantona,Jacob Black,In The Heat Of The Night,Sprinkler,The Pickwick Papers,Who's In The Bag,Pie in the Sky,Denmark,Dray,Shortbread,Temple of Doom
Eric Clapton,Jafar,Indecent Proposal,Squash Ball,The Prince and the Pauper,Wordsearch,Points Of View,Derby ,Drift,Single Gloucester,The Arrow
Eric Morecombe,Jake Scully,Independence Day,Stained Glass Window,The Prisoner of Zenda,Worms,Poldark,Derbyshire ,Dromedary,Smoked Kipper,The Department of Mysteries
Esther Rantzen,James Bond,Indiana Jones and the Last Crusade,Steak-Knife,The Queen and I,Wrestling,Pop Idol,Derwent Water,Drove,Spearmint Gum,The Flame
Eternal,James Onedin,Inspector Gadget,Steering Wheel,The Railway Children,Yoga,Porridge,Devil's Causeway,Duck,Sponge Pudding,The Grid
Eva Braun,Jane Fairfax,Intolerable Cruelty,Stereo,The Rainmaker,Yoyo,Prime Suspect,Devon ,Duckling,Spotted Dick,The Grimpen Mire
Evander Holyfield,Jane Tenyson,Iris,Sticky Plaster,The Ruby In The Smoke,Zoo Tycoon,Prison Break,Dhaka,Dugong,Starbursts,The Hub
Evelyn Waugh,Janice,It Shouldn't Happen To A Vet,String,The Runaway Jury,Zuma,Property Ladder,Dili,Dule,Stawbs,The Hydra
Ewan McGreggor,Jasper,Jack and Sarah,Sunglasses,The Scarlet Pimpernel,,QI,Djibouti,Dung Beetle,Steak and Kidney Pie,The Lamp Post
F Scott Fitzgerald,Jay,Jackass: The Movie,Suspension Bridge,The Secret Garden,,Queer As Folk,Dogger,Dunnock,Stinking Bishop,The Land of Chocolate
Fabio Capello,Jeeves,Jane Eyre,Swimming Trunks,The Shadow In The North,,Quincy,Doha,Dust Mite,Strawberry Laces,The Lonely Mountain
Fatboy Slim,Jemima Puddleduck,Jason and the Argonauts,Swiss Army Knife,The Sheep pig,,Ramsey's Kitchen Nightmares,Dominica,Eagle,Sussex Slipcote,The Looking Glass
Fidel Castro,Jerry Seinfeld,Jaws,Swiss Roll,The Shining,,Ready Steady Cook,Dominican Republic,Eagle Owl,Swaledale,The Orchid
Field-Marshal Montgomery,Jess The Cat,Jean de Florette,Tea Tray,The Sign Of Four,,Reaper,Dorset ,Eaglet,Syrup,The Pearl
Five,Jimbo Jones,Jerry Maguire,Teddy Bear,The Silver Chair,,Red Dwarf,Dover,Earthworm,Tea,The Prancing Pony
Florence Nightingale,Jiminy Cricket,Journey To The Centre Of The Earth,Telephone Box,The Silver Skates,,Richard & Judy,Dublin,Earwig,Teacake,The Queen Vic
Four Tops,Jinx,Jumanji,Tent Peg,The Speckled Band,,Ricki Lake,Dundee,Echidna,Teviotdale,The Restaurant at the End of the Universe
Francis Drake,Joanna Stapleton,Jumping Jack Flash,Tesco Bag,The Strange Case of Dr. Jekyll & Mr. Hyde,,Rising Damp,Dungeness Power Station,Eel,Tiffin,The Shire
Francis of Assisi,Joanna the Goanna,Jurassic Park,Textbook,The Subtle Knife,,Road Wars,Durham ,Egyptian Goose,Tintern,The Staff
Frank Bruno,Joe Fox,Just Married,Thatched Cottage,The Tale of Peter Rabbit,,Robin Hood,Durham Cathedral,Eland,Treacle Tarts,The Swan
Frank Lampard,Joey Tribbiani,Keystone Cops,Thermos Flask,The Tale of Squirrel Nutkin,,Robot Wars,Dushanbe,Electric Eel,Triffle,The Tempest
Frank Skinner,John Book,Kill Bill,Thong,The Tale Of Two Cities,,Rome,East Anglia,Elephant,Tuna,The Winchester
Frank Zappa,John Connor,Kind Hearts and Coronets,Toilet,The Tenant of Wildfell Hall,,Rumpole Of The Bailey,East China Sea ,Elephant seal,Turkey Escellopes,The Woolpack
Frankie Boyle,John Hammond,Kindergarten Cop,Toilet Roll Holder,The Testament,,Sabrina The Teenage Witch,East Suffolk ,Elk,Upsidedown Pudding,Thornfield Hall
Frankie Dettori,John Locke,King Arthur,Torch,The Thornbirds,,Scrapheap Challenge,East Sussex ,Emperor Penguin,Veg,Toad Hall
Frankie Goes To Hollywood,John McClane,King Kong,Towel,The Time Machine,,Scrubs,East Timor,Emu,Veg Juice,Toon Town
Frankie Howard,John Steed,King Solomon's Mines,Trapeze,The Treasure Seekers,,Secret Diary Of A Callgirl,Easter Island,Emus ,Vegemite,Toy Town
Franz Ferdinand,Jolly Green Giant,Krakatoa East Of Java,Treadmill,The Trumpet Major,,Seinfeld,Ecuador,Eyas,Village Green Goat,Tracy Island
Franz Kafka,Jonathon Creek,LA Confidential,Tupperware,The Turn Of The Screw,,Sex & The City,Edinburgh,Falcon,Waffles,Treasure Island
Fred Astaire,Judd Painter,Lady and the Tramp,TV Dinner,The Twits,,Sex and the City,Egypt,Falcons ,Walkers,Trenwith
Freddie Mercury,Juliet Capulet,Lake Placid,TV Remote,The Very Hungry Catterpillar,,Shameless,Eiffel Tower,Family,Water,Tri-Island Area
Frederick Forsyth,Kanga,Last Of The Mohicans,Ultraviolet Light,The Waterbabies,,Shark,Eire,Fawn,Waterloo,Trumpton
Gareth Southgate,Karl Kennedy,Last Tango In Paris,Vari-Focals,The wind in the willows,,Sherlock,El Aaiun,Ferret,Wensleydale,Vice City
Gary Barlow,Kat Slater,Lawrence Of Arabia,Venetian Blinds,The Witches,,Sherlock Holmes,El Salvador,Fesnyng,White Bread,Vulcan
Gary Glitter,Kenny Mckormick,Legally Blonde,Ventilation Shaft,The Wizard Of Oz,,Shipwrecked,Ellesmere Island,Finch,White Chocolate,Wakanda
Gene Hackman,Kermit,Leon,Walkers Crisps,The Wolves of Willoughby Chase,,Silent Witness,Ely ,Finches,White Stilton,Walkabout Creek
General Custer,Kevin McAllistair,Les Miserables,Washing-Up Liquid,The Women In White,,Skins,Ely Cathedral,Fish ,Whitehaven,Wall
Genghis Khan,King Triton,Lethal Weapon,Water,The Worst Witch,,Smack The Pony,Empire State Building,Flamingo,Wholemeal Bread,Waterdeep
Geoff Boycott,Kitty Bennet,Liar Liar,Weathervane,To Kill A Mockingbird,,Smallville,England,Flatback Turtle,Wiltshire Loaf,Weatherfield
Geoff Capes,Kurt Von Trapp,Lilo And Stitch,Wishing Well,Tom Brown's School Days,,Soldier Soldier,English Channel,Fledgling,Woolsery Goats,Willoughby Chase
Geofrrey Chaucer,Kwai Chang Caine,Little Dorrit,Wrapping Paper,Trainspotting,,Some Mothers Do Ave Em,Equatorial Guinea,"Fledgling, Or Chick",Xploder,Wisteria Lane
George Best,Kyle Brotlovsky,Little Mermaid,Wristwatch,Treasure Island,,Songs Of Praise,Eritrea,Flight,Y Fenni,Wonderland
George Bush,Lady Catherine deBurgh,Little Voice,X-Box,Tumbleweed,,South Park,Essex ,Float,Yarg,Yavin
George Carey,Lady Penelope,Loch Ness,Yellow Pages,Twilight,,Spaced,Estonia,Flock,Yorkshire Pudding,Zenda
George Foreman,Lancelot,Lolita,Yoga Mat,Under The Greenwood Tree,,Spooks,Ethiopia,Fly,,Zion
George Gershwin,Lara Croft,Lorna Doone,,Vanity Fair,,Springwatch,Europe,Flying Fish,,
George Graham,Lassie,Lost In Space,,Voyage of The Dawntredder,,Star Trek,Exeter ,Flying Fox,,
George Lucas,LeChuck,Lost In Translation,,War & Peace,,Starsky & Hutch,Exmoor,Foal,,
George Michael,Leon,LOTR: The Fellowship Of The Ring,,War Of The Worlds,,Steptoe & Son,Faeroes,Fox,,
George Orwell,Lilo,LOTR: The Return Of The King,,Watership Down,,Strictly Come Dancing,Fair Isle,French Poodle,,
Gerard Depardieu,Little Bo Peep,LOTR: The Two Towers,,What Katie Did,,Sunset beach,Falkland Islands,Frigate Bird,,
Germaine Greer,Little Lord Fauntleroy,Love Actually,,Where Angels Fear To Tread,,Superman,Fastnet,Frog,,
Gerry & the Pacemakers,Little Miss Muffet,Love Story,,Where The Wild Things Are,,Supermarket Sweep,Fiji,Fruit Bat,,
Gerry Adams,Little Miss Naughty,Mad Max,,Where's Wally?,,Supernanny,Fingal's Cave,Fry,,
Giant Haystacks,Long John Silver,Madagascar,,Whitefang,,Supervets,Finland,Fulmar,,
Gillian Anderson,Lord Voldemort,Magic,,Winnie the Pooh,,Survivor,Fisher,Funnel Web Spider,,
Gillian Taylforth,Lotso,Man and Boy,,Winnie The Witch,,Takeshi's Castle,FitzRoy,Gaggle,,
Giorgio Armani,Lt Ellen Riply,Marathon Man,,Wives & Daughters,,Teachers,Florence,Gam,,
Glen Miller,Lucious Fox,Marnie,,Wuthering Heights,,That 70's Show,Florida,Gang,,
Glenda Jackson,Luke Skywalker,Mary Poppins,,Zorro,,The A Team,Forbidden City,Gannet,,
Glenn Hoddle,Macavity,MASH,,,,The Apprentice,Fort Knox,Gaur,,
Gok Wan,Madame Butterfly,Master and Commander: The Far Side of the World,,,,The Avengers,Forth,Gazelle,,
Goldie Hawn,Madeline Magellan,Matilda,,,,The Big Bang Theory,Forties,Gecko,,
Gordon Brown,Maid Marian,Maverick,,,,The Big Breakfast,France,Geese,,
Gordon Ramsey,Malcolm In The Middle,Maybe Baby,,,,The Biggest Loser,Freetown,Gerbil,,
Gore Vidal,Man Friday,Meet Joe Black,,,,The Bill,Funafuti,German Shephard,,
Grace Kelly,Manford (mammoth),Meet Me In St Louis,,,,The Brittas Empire,Gabon,Gezeele,,
Graham Greene,Martin Chuzzlewit,Men In Black,,,,The Catherine Tate Show,Gaborone,Giant Panda,,
Graham Norton,Marty McFly,Mercury Rising,,,,The Champions,Gambia,Giant Tortoise,,
Graham Taylor,Mary Bennet,Merlin,,,,The Fresh Prince Of Bel-Air,General Sherman,Gibbon,,
Greg Rusedski,Mary Poppins,Message In a Bottle,,,,The Fugitive,Georgetown,Gipsy Moth,,
Greta Garbo,Matilda,Mickey Blue Eyes,,,,The F-Word,Georgia,Giraffe,,
Griff Rhys-Jones,Maximus,Minority Report,,,,The Gadget Show,German Bight,Giraffe ,,
Groucho Marx,Mayor Quimby,Miss Congeniality,,,,The Generation Game,Germany,Gnat,,
Guy Fawkes,Merlin,Mission Impossible,,,,The Graham Norton Show,Ghana,Gnu,,
Gyles Brandeth,Merry,Mona Lisa Smile,,,,The Inbetweeners,Gilbraltar,Gnu ,,
Hadrian,Michael Stone,Monster,,,,The IT Crowd,Glasgow,Goanna,,
Haile Selaisse,Mick Dundee,Monsters Ball,,,,The Jerry Springer Show,Gloucester ,Goat,,
Hannibal,Mickey Mouse,Monsters Inc,,,,The Man From Uncle,Gloucestershire ,Golden Eagle,,
Hans Christian Andrsen,Mike Wazowski,Monty Python's Life Of Brian,,,,The Mighty Boosh,Gobi Desert,Golden Orfe,,
Harold Shipman,Mildred Hubble,Moonstruck,,,,The Munsters,Golden Gate Bridge,Golden Oriole,,
Harold Wilson,Milhouse,Mosquito Coast,,,,The Naked Chef,Graceland,Golden Retriever,,
Harrison Ford,Miss Bianca,Moulin Rouge,,,,The O.C,Grand Canyon,Goldfinch,,
Harry Enfield,Miss Marple,Mrs Brown,,,,The Office,Grasmere,Goldfish,,
Harry Houdini,Miss Piggy,Mrs Doubtfire,,,,The ONE Show,Great Bear Lake,Goldfish ,,
Harry Secombe,Miss Scarlett,Mrs Miniver,,,,The Onedin Line,Great Britain,Goose,,
Harvey Smith,Miss Trunchbull,Much Ado About Nothing,,,,The Osbournes,Great Gable,Gopher,,
Helen Mirren,Misteeq,Murder By Death,,,,The Paul Daniels Magic Show,Great Pyramid of Giza,Gorilla,,
Henry Kissinger,Moby Dick,Murder In The First,,,,The Paul O'Grady Show,Great Victoria Desert,Gosling,,
Henry Moore,Money Penny,Murder On The Orient Express,,,,The Price Is Right,Great Wall of China,Grass Carp,,
Henry VIII,Monica Geller,Muriel's Wedding,,,,The Real Hustle,Greater London ,Grass Snake,,
HG Wells,Morpheous,My Best Friend's Wedding,,,,The Real World,Greater Manchester ,Grasshopper,,
Hilary Clinton,Morticia Addams,My Big Fat Greek Wedding,,,,The Royale Family,Greece,Grayling,,
Hilda Ogden,Mowgli,My Fair Lady,,,,The Saint,Greenland,Great Dane,,
Horatio Nelson,Mr Bean,My Girl,,,,The Simple Life,Greenwich Observatory,Great Spotted Woodpecker,,
Hugh Dennis,Mr Ben,My Left Foot,,,,The Simpsons,Grenada,Great Tit,,
Hugh Grant,Mr Blobby,Mystic Pizza,,,,The Sky At Night,Ground Zero,Great White Shark,,
Hugh Laurie,Mr Bump,National Velvet,,,,The Smoking Room,Guatemala,Green Hairstreak,,
Hugh Scully,Mr Burns,Ned Kelly,,,,The Sopranos,Guatemala City,Green Sandpiper,,
Humphrey Bogart,Mr Collins,Nicholas Nickleby,,,,The Sweeney,Guernsey,Green Turtle,,
Ian Botham,Mr Darcy,Nightmare On Elm Street,,,,The Thin Blue Line,Guinea,Green Veined White,,
Ian Hislop,Mr Dizzy,Notting Hill,,,,The Tudors,Guinea-Bissau,Green Woodpecker,,
Ian Rush,Mr Garrison,Oceans Eleven,,,,The Twilight Zone,Gulf of California ,Greenfinch,,
Ian Wright,Mr Jinx,Octopussy,,,,The Two Ronnies,Gulf of Mexico ,Greenfly,,
Idi Amin,Mr Kipling,Oklahoma,,,,The Vicar Of Dibley,Guyana,Grey Seal,,
Imran Khan,Mr Knightly,Oliver,,,,The Waltons,Hadrian's Wall,Grey Squirrel,,
Indira Gandhi,Mr Macgregor,On Golden Pond,,,,The Wright Stuff,Haiti,Greyhound,,
Ingrid Bergman,Mr Majeika,Once Upon A Time In Mexico,,,,The X Files,Hampshire,Grisly Bear,,
Isaac Asimov,Mr Rochester,One Flew Over The Cuckoo's Nest,,,,The Young Ones,Hampstead Heath,Grist,,
J R R Tolkien,Mr Small,Open Water,,,,Third Rock From The Sun,Hanging Gardens of Babylon,Grouse ,,
Jack Charlton,Mr Spock,Overboard,,,,This Is Your Life,Hanoi,Grub,,
Jack Dee,Mr Twit,Paper Moon,,,,Through The Keyhole,Harare,Guanaco,,
Jack Nicholson,Mr Wickham,Patriot Games,,,,Thunderbirds,Havana,Gudgeon,,
Jack the Ripper,Mrs Bennet,Pearl Harbor,,,,Tonight With Jools Holland,Hawaii,Guillemot,,
Jackie Chan,Mrs Miggins,Perfect Storm,,,,Top Gear,Heathrow Airport,Guinea fowl,,
Jackie Collins,Mrs Peacock,Persuasion,,,,Top Of The Pops,Hebrides,Guinea pig,,
Jacques Chirac,Mrs Robinson,Pet Cemetery,,,,Torchwood,Helsinki,Gull,,
Jacques Villeneuve,Mrs Tiggywinkle,Peter Pan,,,,Trigger Happy TV,Helvellyn,Gulp,,
James Cagney,Mrs Twit,Philadelphia,,,,Trisha Goddard,Hereford,Hammerhead Shark,,
James Cameron,Mrs White,Phone Booth,,,,Two Fat Ladies,Hereford and Worcester ,Hamster,,
James Cordon,Mulder,Picnic At Hanging Rock,,,,Two Pints Of Lager and a Packet Of Crisps,Herefordshire ,Hare,,
James Dean,Muriel,Picture Perfect,,,,Ugly Betty,Hertfordshire ,Hare ,,
James Goldsmith,Neo,Pinocchio,,,,University Challenge,Himalayas,Haul,,
James Herriot,Nessa,Pirates of the Caribbean,,,,Upstairs Downstairs,Hobart,Hawk,,
James Joyce,Nicholas Nickleby,Plague Dogs,,,,Vets In Practice,Hollywood,Hawk ,,
Jamie Lee Curtis,Nick Harper,Planet Of The Apes,,,,Waking The Dead,Honduras,Head Louse,,
